document_id,flavor_a,flavor_b,pair_key,sentence,matched_categories,matched_terms,is_same_sentence_pair,has_positive_expression,has_negative_expression,has_taste_role_explanation,review_title,review_url
R0039,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/
R0040,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/
R0040,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/
R0166,アールグレイ,バニラ,アールグレイ||バニラ,・【旬-shun-】ペアー(40%)・【Debaj】ミルク(30%)・【AlFakher】バニラ(30%),,,False,False,False,False,旬-SHUN- PEAR,https://cloud-jp.net/shun-pear/
R0166,アールグレイ,バニラ,アールグレイ||バニラ,・【旬-shun-】ペアー(50%)・【Afzal】アールグレイ(50%),,,False,False,False,False,旬-SHUN- PEAR,https://cloud-jp.net/shun-pear/
R0051,ミント,レモン,ミント||レモン,・クールブリーズ×ミント×レモン – レモンの酸味とミントの清涼感、そしてクールブリーズの特徴ある後味が調和されたミックスです。,experience:balance|experience:coolness|taste:acidity|taste_role,クール|ミックス|清涼感|調和|酸味,True,False,False,True,MALAKI – Cool Breeze(クールブリーズ),https://cloud-jp.net/malaki-coolbreeze/
R0064,ミント,レモン,ミント||レモン,・ミント×レモン×ライチ – ミントの幅の広さを考え、あえて王道に近いミックスを選びました。,taste_role,ミックス,True,False,False,True,MALAKI – Mint(ミント),https://cloud-jp.net/malaki-mint/
R0122,ミント,レモン,ミント||レモン,おすすめミックスとしてはハーブっぽさやフローラルさを足すために、Azure LemonGrassやTrifecta DarkのLavenderMint、Dozaj Jasminあたりを入れてあげると、更に上品な香りが楽しめます。,evaluation:positive|experience:aroma|taste_role,おすすめ|ミックス|足す|香り,True,True,False,True,DOZAJ – LindenTea(リンデンティー)レビュー,https://cloud-jp.net/dozaj-lindentea/
R0132,ミント,レモン,ミント||レモン,DOZAJの中では、PearやTangerine、Lemonといったスッキリ系のフレーバーとの相性は抜群ですし、さらにIceやMintを足して、清涼感マシマシで吸っていただくのもオススメです。,experience:balance|experience:coolness|taste_role,清涼感|相性,True,False,False,True,DOZAJ – Cucumber(キューカンバー)レビュー,https://cloud-jp.net/dozaj-cucumber/
R0170,ミント,レモン,ミント||レモン,・【旬-SHUN-】 LEMON(30%)　＋　【旬-SHUN-】MINT(30%) ＋　【AZURE】LIME(40%),,,True,False,False,False,旬-SHUN- LEMON,https://cloud-jp.net/shun-lemon/
R0199,ミント,レモン,ミント||レモン,アルファーヘルのスイカを使ったミックスには、さっぱり系のミックスではグレープフルーツ、ミント、レモン、パッションフルーツなどがおすすめです。,evaluation:positive|experience:coolness|taste_role,おすすめ|さっぱり|ミックス,True,True,False,True,AlFakher Watermelon(スイカ)レビュー,https://cloud-jp.net/alfakher-watermelon-review/
R0158,ハニー,ミルク,ハニー||ミルク,こちらの記事では、TROY(トロイ)のHoney Milk(ハニーミルク)のフレーバーレビューをご紹介します。,,,True,False,False,False,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0158,ハニー,ミルク,ハニー||ミルク,Honey Milkの特徴,,,True,False,False,False,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0158,ハニー,ミルク,ハニー||ミルク,Honey Milkを使ったおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0158,ハニー,ミルク,ハニー||ミルク,Honey Milkの特徴,,,True,False,False,False,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0158,ハニー,ミルク,ハニー||ミルク,TROY HONEY MILKは、その名の通りハニーとミルクのミックスフレーバー。,taste_role,ミックス,True,False,False,True,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0158,ハニー,ミルク,ハニー||ミルク,Honey Milkを使ったおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0158,ハニー,ミルク,ハニー||ミルク,TROY(トロイ) – HONEY MILK(ハニーミルク)はCLOUD SHOPにてご購入いただけます！,,,True,False,False,False,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/
R0161,ハニー,ミルク,ハニー||ミルク,Baklavaのおすすめmixとしては、甘いシーシャが好きな方であれば、Social SmokeのDulce de lecheや同じくTROYのHoney Milkが合うのではないでしょうか。,evaluation:positive|taste:sweetness,おすすめ|好き|甘い,True,True,False,False,TROY – BAKLAVA(バクラヴァ) レビュー,https://cloud-jp.net/troy-baklava/
R0169,ハニー,ミルク,ハニー||ミルク,・【Social Smoke】 honeydew,,,False,False,False,False,旬-SHUN- MELON,https://cloud-jp.net/shun-melon/
R0169,ハニー,ミルク,ハニー||ミルク,・【DOZAJ】MILK (50%)　＋　【旬-SHUN-】MELON(50%),,,False,False,False,False,旬-SHUN- MELON,https://cloud-jp.net/shun-melon/
R0197,ハニー,ミルク,ハニー||ミルク,シガーを使ったミックスには、チョコレートやココナッツ、ミルク、ハニーなどの甘いフレーバーや、カルダモンなどのスパイス系、それ以外にもスイカやアールグレイなどがおすすめです。,evaluation:positive|taste:spicy|taste:sweetness|taste_role,おすすめ|スパイス|ミックス|甘い,True,True,False,True,Social Smoke Cigar(シガー)レビュー,https://cloud-jp.net/socialsmoke-cigar-review/
R0198,ハニー,ミルク,ハニー||ミルク,アルファーヘルのバニラを使ったミックスには、チャイやキャラメル、メロン、ハニー、ココナッツ、ミルク、チョコレートなど甘いフレーバーとの相性は抜群です。,experience:balance|taste:sweetness|taste_role,ミックス|甘い|相性,True,False,False,True,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0207,ハニー,ミルク,ハニー||ミルク,Social Smoke(ソーシャルスモーク) Honeydew Melon(ハニーデューメロン)のレビューです。,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ハニー,ミルク,ハニー||ミルク,Social Smoke Honeydew Melon(ハニーデューメロン)の特徴,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ハニー,ミルク,ハニー||ミルク,Social Smoke Honeydew Melon(ハニーデューメロン)を使ったMIX,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ハニー,ミルク,ハニー||ミルク,Social Smoke Honeydew Melon(ハニーデューメロン)の特徴,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ハニー,ミルク,ハニー||ミルク,Social Smoke Honeydew Melon(ハニーデューメロン)を使ったMIX,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ハニー,ミルク,ハニー||ミルク,Social SmokeHoneydew Melon(ハニーデューメロン),,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ハニー,ミルク,ハニー||ミルク,は単体で濃厚な甘さが楽しめるので、同系統で合わせるのであればバニラやココナッツ、ミルク、さっぱりした感じをプラスしたい時はオレンジやミント、レモンなどがおすすめです！,evaluation:positive|experience:coolness|taste:richness,おすすめ|さっぱり|濃厚,False,True,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0140,バニラ,ミルク,バニラ||ミルク,また、バニラ、キャラメル、ミルク、チョコでもったり甘々にしてもいいですし、意外なところでいうとグレープやベリー系統のフレーバーとの相性もいいです。,experience:balance|taste_role,相性,True,False,False,True,DOZAJ – Cappuccino(カプチーノ)レビュー,https://cloud-jp.net/dozaj-cappccino/
R0152,バニラ,ミルク,バニラ||ミルク,・ヘーゼルナッツ、シナモン、バニラ ヘーゼルナッツとシナモンの上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,DOZAJ – HazelNut(ヘーゼルナッツ)レビュー,https://cloud-jp.net/dozaj-hazelnut/
R0152,バニラ,ミルク,バニラ||ミルク,・ヘーゼルナッツ、キャラメル、ミルク キャラメルでぐっとお菓子寄りに、ほんのりミルクを添えて。,,,False,False,False,False,DOZAJ – HazelNut(ヘーゼルナッツ)レビュー,https://cloud-jp.net/dozaj-hazelnut/
R0166,バニラ,ミルク,バニラ||ミルク,・【旬-shun-】ペアー(40%)・【Debaj】ミルク(30%)・【AlFakher】バニラ(30%),,,True,False,False,False,旬-SHUN- PEAR,https://cloud-jp.net/shun-pear/
R0188,バニラ,ミルク,バニラ||ミルク,ミックスにおすすめのフレーバーは、ミルク、バニラ、ココナッツ、キャラメルなどの甘い系のフレーバーがおすすめです。,evaluation:positive|taste:sweetness|taste_role,おすすめ|ミックス|甘い,True,True,False,True,DeCloud Mango(マンゴー)レビュー,https://cloud-jp.net/decloud-mango/
R0189,バニラ,ミルク,バニラ||ミルク,ミックスにおすすめのフレーバーは、ミルク、バニラ、チョコレートなどの甘い系のフレーバーでスムージーのように仕上げるもよし、酸味が好きな方はレモンやグアバなどとミックスするのがおすすめです。,evaluation:positive|taste:acidity|taste:sweetness|taste_role,おすすめ|ミックス|好き|甘い|酸味,True,True,False,True,DeCloud StrawBerry(ストロベリー)レビュー,https://cloud-jp.net/post-3891/
R0198,バニラ,ミルク,バニラ||ミルク,AlFakher(アルファーヘル)のVanilla(バニラ)のレビューです。,,,False,False,False,False,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0198,バニラ,ミルク,バニラ||ミルク,AlFakher(アルファーヘル) Vanilla(バニラ)の特徴,,,False,False,False,False,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0198,バニラ,ミルク,バニラ||ミルク,AlFakher(アルファーヘル) Vanilla(バニラ)を使ったMIX,,,False,False,False,False,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0198,バニラ,ミルク,バニラ||ミルク,AlFakher(アルファーヘル) Vanilla(バニラ)の特徴,,,False,False,False,False,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0198,バニラ,ミルク,バニラ||ミルク,AlFakher(アルファーヘル) Vanilla(バニラ)を使ったMIX,,,False,False,False,False,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0198,バニラ,ミルク,バニラ||ミルク,アルファーヘルのバニラを使ったミックスには、チャイやキャラメル、メロン、ハニー、ココナッツ、ミルク、チョコレートなど甘いフレーバーとの相性は抜群です。,experience:balance|taste:sweetness|taste_role,ミックス|甘い|相性,False,False,False,True,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0035,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/
R0035,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/
R0037,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/
R0037,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/
R0038,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/
R0038,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/
R0039,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/
R0039,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/
R0040,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/
R0040,アールグレイ,コニャック,アールグレイ||コニャック,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/
R0035,コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,True,False,False,True,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/
R0037,コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,True,False,False,True,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/
R0038,コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,True,False,False,True,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/
R0039,コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,True,False,False,True,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/
R0040,コニャック,バニラ,コニャック||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,True,False,False,True,MALAKI – Lemon(レモン),https://cloud-jp.net/malaki-lemon/
R0090,ミルク,メロン,ミルク||メロン,TROY – Melon Milk(メロンミルク)の特徴,,,True,False,False,False,TROY – Melon Milk(メロンミルク)レビュー,https://cloud-jp.net/troy-melonmilk/
R0090,ミルク,メロン,ミルク||メロン,TROY – Melon Milk(メロンミルク)のおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,TROY – Melon Milk(メロンミルク)レビュー,https://cloud-jp.net/troy-melonmilk/
R0090,ミルク,メロン,ミルク||メロン,TROY – Melon Milk(メロンミルク)の特徴,,,True,False,False,False,TROY – Melon Milk(メロンミルク)レビュー,https://cloud-jp.net/troy-melonmilk/
R0090,ミルク,メロン,ミルク||メロン,TROY – Melon Milk(メロンミルク)のおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,TROY – Melon Milk(メロンミルク)レビュー,https://cloud-jp.net/troy-melonmilk/
R0169,ミルク,メロン,ミルク||メロン,・【DOZAJ】MILK (50%)　＋　【旬-SHUN-】MELON(50%),,,True,False,False,False,旬-SHUN- MELON,https://cloud-jp.net/shun-melon/
R0198,ミルク,メロン,ミルク||メロン,アルファーヘルのバニラを使ったミックスには、チャイやキャラメル、メロン、ハニー、ココナッツ、ミルク、チョコレートなど甘いフレーバーとの相性は抜群です。,experience:balance|taste:sweetness|taste_role,ミックス|甘い|相性,True,False,False,True,AlFakher Vanilla(バニラ)レビュー,https://cloud-jp.net/alfakher-vanilla-review/
R0207,ミルク,メロン,ミルク||メロン,Social Smoke(ソーシャルスモーク) Honeydew Melon(ハニーデューメロン)のレビューです。,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ミルク,メロン,ミルク||メロン,Social Smoke Honeydew Melon(ハニーデューメロン)の特徴,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ミルク,メロン,ミルク||メロン,Social Smoke Honeydew Melon(ハニーデューメロン)を使ったMIX,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ミルク,メロン,ミルク||メロン,Social Smoke Honeydew Melon(ハニーデューメロン)の特徴,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ミルク,メロン,ミルク||メロン,Social Smoke Honeydew Melon(ハニーデューメロン)を使ったMIX,,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ミルク,メロン,ミルク||メロン,Social SmokeHoneydew Melon(ハニーデューメロン),,,False,False,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0207,ミルク,メロン,ミルク||メロン,は単体で濃厚な甘さが楽しめるので、同系統で合わせるのであればバニラやココナッツ、ミルク、さっぱりした感じをプラスしたい時はオレンジやミント、レモンなどがおすすめです！,evaluation:positive|experience:coolness|taste:richness,おすすめ|さっぱり|濃厚,False,True,False,False,Social Smoke Honeydew Melon(ハニーデューメロン)レビュー,https://cloud-jp.net/socialsmoke-honeydewmelon-review/
R0212,ミルク,メロン,ミルク||メロン,Debaj Cardamom Milkを使ったおすすめのミックスには、キャラメルやミルクティー、メロン、チャイなどミルクの甘い香りを活かしたMIXがおすすめです。,evaluation:positive|experience:aroma|taste:sweetness|taste_role,おすすめ|ミックス|甘い|香り,True,True,False,True,Debaj Cardamom Milk(カルダモンミルク)レビュー,https://cloud-jp.net/debaj-cardamommilk-review/
R0091,バナナ,ミルク,バナナ||ミルク,TROY – Banana Milk(バナナミルク)の特徴,,,True,False,False,False,TROY – Banana Milk(バナナミルク)レビュー,https://cloud-jp.net/troy-bananamilk/
R0091,バナナ,ミルク,バナナ||ミルク,TROY – Banana Milk(バナナミルク)のおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,TROY – Banana Milk(バナナミルク)レビュー,https://cloud-jp.net/troy-bananamilk/
R0091,バナナ,ミルク,バナナ||ミルク,TROY – Banana Milk(バナナミルク)の特徴,,,True,False,False,False,TROY – Banana Milk(バナナミルク)レビュー,https://cloud-jp.net/troy-bananamilk/
R0091,バナナ,ミルク,バナナ||ミルク,TROY – Banana Milk(バナナミルク)のおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,TROY – Banana Milk(バナナミルク)レビュー,https://cloud-jp.net/troy-bananamilk/
